number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
119,1.1302409528743838,2025-04-24 21:01:03.718635,2025-04-24 21:01:04.612509,0 days 00:00:00.893874,absolute_error,34,sqrt,2,5,best,TPESampler,COMPLETE
120,0.6088450820608182,2025-04-24 21:01:04.465174,2025-04-24 21:01:05.185766,0 days 00:00:00.720592,absolute_error,34,sqrt,1,3,best,TPESampler,COMPLETE
121,0.7105690610052176,2025-04-24 21:01:04.666067,2025-04-24 21:01:05.557961,0 days 00:00:00.891894,absolute_error,32,sqrt,1,3,random,TPESampler,COMPLETE
122,0.5872420994323145,2025-04-24 21:01:04.922073,2025-04-24 21:01:05.909812,0 days 00:00:00.987739,absolute_error,35,sqrt,1,2,best,TPESampler,COMPLETE
123,0.7033595174659969,2025-04-24 21:01:05.500847,2025-04-24 21:01:06.348237,0 days 00:00:00.847390,absolute_error,28,sqrt,1,5,best,TPESampler,COMPLETE
124,0.9996424324783258,2025-04-24 21:01:05.798183,2025-04-24 21:01:06.603726,0 days 00:00:00.805543,absolute_error,34,sqrt,2,2,best,TPESampler,COMPLETE
125,0.6310502563923985,2025-04-24 21:01:06.223473,2025-04-24 21:01:07.233092,0 days 00:00:01.009619,absolute_error,33,sqrt,1,5,best,TPESampler,COMPLETE
126,1.3391957616655856,2025-04-24 21:01:06.609072,2025-04-24 21:01:07.632612,0 days 00:00:01.023540,friedman_mse,26,sqrt,8,9,best,TPESampler,COMPLETE
127,0.6088450820608182,2025-04-24 21:01:07.037998,2025-04-24 21:01:08.063533,0 days 00:00:01.025535,absolute_error,34,sqrt,1,3,best,TPESampler,COMPLETE
128,0.8830393779381801,2025-04-24 21:01:07.477551,2025-04-24 21:01:08.406842,0 days 00:00:00.929291,absolute_error,35,sqrt,1,6,best,TPESampler,COMPLETE
129,0.5542791023918845,2025-04-24 21:01:07.957414,2025-04-24 21:01:08.802286,0 days 00:00:00.844872,absolute_error,31,sqrt,1,2,best,TPESampler,COMPLETE
130,0.6095026962894158,2025-04-24 21:01:08.353908,2025-04-24 21:01:09.086188,0 days 00:00:00.732280,absolute_error,30,sqrt,1,3,best,TPESampler,COMPLETE
131,0.6088450820608182,2025-04-24 21:01:08.636824,2025-04-24 21:01:09.431251,0 days 00:00:00.794427,absolute_error,34,sqrt,1,3,best,TPESampler,COMPLETE
132,0.5889451668041809,2025-04-24 21:01:09.091854,2025-04-24 21:01:09.896946,0 days 00:00:00.805092,absolute_error,35,sqrt,1,3,best,TPESampler,COMPLETE
133,0.9996424324783258,2025-04-24 21:01:09.385156,2025-04-24 21:01:10.168473,0 days 00:00:00.783317,absolute_error,28,sqrt,2,3,best,TPESampler,COMPLETE
134,0.5542791023918845,2025-04-24 21:01:09.728225,2025-04-24 21:01:10.517223,0 days 00:00:00.788998,absolute_error,31,sqrt,1,2,best,TPESampler,COMPLETE
135,0.5647532297301866,2025-04-24 21:01:10.159355,2025-04-24 21:01:10.853769,0 days 00:00:00.694414,absolute_error,34,sqrt,1,2,best,TPESampler,COMPLETE
136,0.5872420994323145,2025-04-24 21:01:10.424638,2025-04-24 21:01:11.203122,0 days 00:00:00.778484,absolute_error,35,sqrt,1,2,best,TPESampler,COMPLETE
137,0.9996424324783258,2025-04-24 21:01:10.759098,2025-04-24 21:01:11.509338,0 days 00:00:00.750240,absolute_error,29,sqrt,2,2,best,TPESampler,COMPLETE
138,0.5647532297301866,2025-04-24 21:01:11.098550,2025-04-24 21:01:11.810490,0 days 00:00:00.711940,absolute_error,34,sqrt,1,2,best,TPESampler,COMPLETE
139,0.5889451668041809,2025-04-24 21:01:11.412239,2025-04-24 21:01:12.165090,0 days 00:00:00.752851,absolute_error,35,sqrt,1,3,best,TPESampler,COMPLETE
140,0.5682124588118789,2025-04-24 21:01:11.709969,2025-04-24 21:01:12.508520,0 days 00:00:00.798551,absolute_error,27,sqrt,1,2,best,TPESampler,COMPLETE
141,0.5889451668041809,2025-04-24 21:01:12.104545,2025-04-24 21:01:12.815006,0 days 00:00:00.710461,absolute_error,35,sqrt,1,3,best,TPESampler,COMPLETE
142,0.6112778743973727,2025-04-24 21:01:12.391776,2025-04-24 21:01:13.153609,0 days 00:00:00.761833,absolute_error,29,sqrt,1,2,best,TPESampler,COMPLETE
143,0.5872420994323145,2025-04-24 21:01:12.724325,2025-04-24 21:01:13.513961,0 days 00:00:00.789636,absolute_error,35,sqrt,1,2,best,TPESampler,COMPLETE
144,0.8465624319698303,2025-04-24 21:01:13.061416,2025-04-24 21:01:13.791820,0 days 00:00:00.730404,absolute_error,33,sqrt,1,2,best,TPESampler,COMPLETE
145,0.5889451668041809,2025-04-24 21:01:13.336085,2025-04-24 21:01:14.176922,0 days 00:00:00.840837,absolute_error,35,sqrt,1,3,best,TPESampler,COMPLETE
146,0.9996424324783258,2025-04-24 21:01:13.797743,2025-04-24 21:01:14.569815,0 days 00:00:00.772072,absolute_error,35,sqrt,2,3,best,TPESampler,COMPLETE
147,0.6495154378450877,2025-04-24 21:01:14.109091,2025-04-24 21:01:14.975055,0 days 00:00:00.865964,absolute_error,35,sqrt,1,4,best,TPESampler,COMPLETE
148,0.6843391338767951,2025-04-24 21:01:14.546010,2025-04-24 21:01:15.273194,0 days 00:00:00.727184,friedman_mse,33,sqrt,1,3,best,TPESampler,COMPLETE
149,0.5872420994323145,2025-04-24 21:01:14.850020,2025-04-24 21:01:15.839486,0 days 00:00:00.989466,absolute_error,35,sqrt,1,2,best,TPESampler,COMPLETE
150,0.9996424324783258,2025-04-24 21:01:15.208815,2025-04-24 21:01:16.304172,0 days 00:00:01.095357,absolute_error,35,sqrt,2,2,best,TPESampler,COMPLETE
