number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
105,0.9056591335412275,2025-04-24 21:24:48.573360,2025-04-24 21:24:50.568851,0 days 00:00:01.995491,True,absolute_error,12,sqrt,12,10,810,TPESampler,COMPLETE
106,0.369945621570506,2025-04-24 21:24:50.730552,2025-04-24 21:25:28.984427,0 days 00:00:38.253875,True,absolute_error,49,,1,2,335,TPESampler,COMPLETE
107,0.41921616461573047,2025-04-24 21:24:57.793675,2025-04-24 21:25:15.287628,0 days 00:00:17.493953,True,absolute_error,50,sqrt,1,5,672,TPESampler,COMPLETE
108,0.3692861179559771,2025-04-24 21:25:15.466545,2025-04-24 21:26:25.989195,0 days 00:01:10.522650,True,absolute_error,49,,1,2,713,TPESampler,COMPLETE
109,0.4762369363393269,2025-04-24 21:25:23.319444,2025-04-24 21:25:25.478891,0 days 00:00:02.159447,False,squared_error,43,log2,1,3,708,TPESampler,COMPLETE
110,0.5718336414377154,2025-04-24 21:25:25.638978,2025-04-24 21:25:28.572212,0 days 00:00:02.933234,True,absolute_error,50,sqrt,2,2,237,TPESampler,COMPLETE
111,0.6810799637078726,2025-04-24 21:25:28.755698,2025-04-24 21:25:32.518006,0 days 00:00:03.762308,False,squared_error,5,,11,7,977,TPESampler,COMPLETE
112,0.8944214735430416,2025-04-24 21:25:29.184306,2025-04-24 21:25:31.357109,0 days 00:00:02.172803,True,absolute_error,50,log2,3,6,534,TPESampler,COMPLETE
113,0.36838585934384965,2025-04-24 21:25:31.520350,2025-04-24 21:25:56.377296,0 days 00:00:24.856946,True,absolute_error,50,,1,2,270,TPESampler,COMPLETE
114,0.37295279307543255,2025-04-24 21:25:32.684799,2025-04-24 21:26:11.320559,0 days 00:00:38.635760,True,absolute_error,43,,1,2,395,TPESampler,COMPLETE
115,0.37297591398664715,2025-04-24 21:25:56.532688,2025-04-24 21:26:34.393386,0 days 00:00:37.860698,True,absolute_error,48,,1,2,372,TPESampler,COMPLETE
116,0.3705858465045984,2025-04-24 21:26:11.495706,2025-04-24 21:26:51.652922,0 days 00:00:40.157216,True,absolute_error,49,,1,2,337,TPESampler,COMPLETE
117,0.3684204841942153,2025-04-24 21:26:26.150795,2025-04-24 21:26:54.940156,0 days 00:00:28.789361,True,absolute_error,50,,1,2,212,TPESampler,COMPLETE
118,0.3686571692833636,2025-04-24 21:26:34.559503,2025-04-24 21:28:14.779237,0 days 00:01:40.219734,True,absolute_error,49,,1,2,829,TPESampler,COMPLETE
119,0.41131364980053053,2025-04-24 21:26:51.836205,2025-04-24 21:27:31.297589,0 days 00:00:39.461384,True,absolute_error,38,,2,4,694,TPESampler,COMPLETE
120,0.44353230390728676,2025-04-24 21:26:55.114464,2025-04-24 21:29:05.222782,0 days 00:02:10.108318,False,absolute_error,50,,1,3,781,TPESampler,COMPLETE
121,0.9151627857854716,2025-04-24 21:27:31.493927,2025-04-24 21:27:32.943216,0 days 00:00:01.449289,True,squared_error,38,log2,3,14,868,TPESampler,COMPLETE
122,0.3689129030171069,2025-04-24 21:27:33.118990,2025-04-24 21:29:01.331449,0 days 00:01:28.212459,True,absolute_error,49,,1,2,726,TPESampler,COMPLETE
123,0.37053051494073497,2025-04-24 21:28:14.946510,2025-04-24 21:29:21.125754,0 days 00:01:06.179244,True,absolute_error,48,,1,2,584,TPESampler,COMPLETE
