number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
42,0.06106199324131012,2025-04-25 14:06:30.972128,2025-04-25 14:07:31.278161,0 days 00:01:00.306033,0.03862049432638745,192,2,1,32,0.07089517941120024,224,3,1,128,0.20396235141527447,32,2,4,96,0.27811734155409124,336,248.0,480.0,3,2,0.0009720771263711168,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_42_best_state.pt,"{'learning_rate': 0.0009720771263711168, 'lr_reduce': 0.6}",TPESampler,COMPLETE
43,0.05977015569806099,2025-04-25 14:06:40.387883,2025-04-25 14:07:46.693670,0 days 00:01:06.305787,0.03279300332389128,112,2,2,48,0.07484710610431013,112,4,1,80,0.219852273627519,32,1,4,96,0.21894467036770723,440,192.0,432.0,3,2,0.0008613236920385968,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_43_best_state.pt,"{'learning_rate': 0.0008613236920385968, 'lr_reduce': 0.6}",TPESampler,COMPLETE
44,0.058049507439136505,2025-04-25 14:07:00.605087,2025-04-25 14:08:19.242865,0 days 00:01:18.637778,0.013233389701480223,224,3,1,32,0.060318105438836075,80,3,1,112,0.2335913121885084,32,1,4,128,0.28012487816845816,400,200.0,416.0,3,2,0.000394007942823698,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_44_best_state.pt,"{'learning_rate': 0.000394007942823698, 'lr_reduce': 0.6}",TPESampler,COMPLETE
45,0.06559422612190247,2025-04-25 14:07:31.704911,2025-04-25 14:09:14.110544,0 days 00:01:42.405633,0.0531753294001818,160,3,1,32,0.033240113468288035,64,3,4,112,0.2176775395658429,32,1,4,128,0.0007529352934274626,280,200.0,504.0,3,2,0.0009747634035867608,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_45_best_state.pt,"{'learning_rate': 0.0009747634035867608, 'lr_reduce': 0.6}",TPESampler,COMPLETE
46,0.0653039738535881,2025-04-25 14:07:46.856811,2025-04-25 14:08:48.417046,0 days 00:01:01.560235,0.050442484309309844,64,1,1,64,0.03701564374570414,64,3,1,48,0.2119469284578975,32,2,4,96,0.16229870031551558,288,200.0,384.0,3,2,0.0013306206045281856,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_46_best_state.pt,"{'learning_rate': 0.0013306206045281856, 'lr_reduce': 0.6}",TPESampler,COMPLETE
47,0.06039159744977951,2025-04-25 14:08:19.396427,2025-04-25 14:09:37.137588,0 days 00:01:17.741161,0.12644924131553809,112,2,2,32,0.060140729800258676,128,3,3,48,0.21341776537531704,32,2,2,96,0.1574303450470869,176,256.0,,2,2,0.0004724457513389619,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_47_best_state.pt,"{'learning_rate': 0.0004724457513389619, 'lr_reduce': 0.6}",TPESampler,COMPLETE
48,0.056846123188734055,2025-04-25 14:08:48.661502,2025-04-25 14:10:03.286809,0 days 00:01:14.625307,0.01816569201657827,240,2,2,48,0.09762196788166287,112,2,1,112,0.24722141146420307,48,1,4,128,0.2592226751066949,496,232.0,440.0,3,2,0.00029395612016170036,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_48_best_state.pt,"{'learning_rate': 0.00029395612016170036, 'lr_reduce': 0.6}",TPESampler,COMPLETE
49,0.06348717212677002,2025-04-25 14:09:14.318020,2025-04-25 14:10:22.240754,0 days 00:01:07.922734,0.0032639842453361864,192,4,1,48,0.03341419338366329,128,3,1,112,0.2502639623288304,48,1,4,112,0.2982867089032443,464,216.0,,2,2,0.001041965059704912,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_49_best_state.pt,"{'learning_rate': 0.001041965059704912, 'lr_reduce': 0.6}",TPESampler,COMPLETE
50,0.08495095372200012,2025-04-25 14:09:37.264311,2025-04-25 14:12:49.665590,0 days 00:03:12.401279,0.07085861768312807,192,1,1,48,0.029631961389999805,96,3,2,112,0.22378028185960638,48,3,4,128,0.22346434335955506,488,360.0,440.0,3,2,0.00012224645974865742,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_50_best_state.pt,"{'learning_rate': 0.00012224645974865742, 'lr_reduce': 0.6}",TPESampler,COMPLETE
51,0.07188217341899872,2025-04-25 14:10:03.475940,2025-04-25 14:11:28.033081,0 days 00:01:24.557141,0.050135622983760085,192,1,2,64,0.20791473201768562,80,2,1,112,0.27662009382305114,32,1,4,112,0.2595097747715854,496,304.0,512.0,3,1,0.0003330659947789025,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_51_best_state.pt,"{'learning_rate': 0.0003330659947789025, 'lr_reduce': 0.6}",TPESampler,COMPLETE
