number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
67,0.8500480894490229,2025-04-24 21:00:53.822979,2025-04-24 21:00:54.755349,0 days 00:00:00.932370,squared_error,34,log2,2,6,random,TPESampler,COMPLETE
68,0.5329702439043837,2025-04-24 21:00:53.995746,2025-04-24 21:00:54.800402,0 days 00:00:00.804656,friedman_mse,35,sqrt,1,11,best,TPESampler,COMPLETE
69,0.49443831345136974,2025-04-24 21:00:54.695676,2025-04-24 21:00:55.342531,0 days 00:00:00.646855,absolute_error,34,sqrt,1,8,best,TPESampler,COMPLETE
70,0.723689866904228,2025-04-24 21:00:54.980606,2025-04-24 21:00:55.852248,0 days 00:00:00.871642,friedman_mse,33,sqrt,4,5,random,TPESampler,COMPLETE
71,0.8949707845327863,2025-04-24 21:00:55.043275,2025-04-24 21:00:55.771797,0 days 00:00:00.728522,squared_error,2,sqrt,10,5,best,TPESampler,COMPLETE
72,0.6354744260404631,2025-04-24 21:00:55.638745,2025-04-24 21:00:56.334845,0 days 00:00:00.696100,squared_error,35,log2,1,2,best,TPESampler,COMPLETE
73,0.538302782003533,2025-04-24 21:00:55.961981,2025-04-24 21:00:56.891877,0 days 00:00:00.929896,absolute_error,32,sqrt,1,8,best,TPESampler,COMPLETE
74,0.5131501014074039,2025-04-24 21:00:56.044943,2025-04-24 21:00:56.897408,0 days 00:00:00.852465,absolute_error,30,sqrt,1,8,best,TPESampler,COMPLETE
75,0.9015251732962958,2025-04-24 21:00:56.642995,2025-04-24 21:00:57.256591,0 days 00:00:00.613596,absolute_error,13,log2,7,3,best,TPESampler,COMPLETE
76,0.600774285800134,2025-04-24 21:00:57.114100,2025-04-24 21:00:57.933277,0 days 00:00:00.819177,absolute_error,34,sqrt,2,7,best,TPESampler,COMPLETE
77,0.5366475096286688,2025-04-24 21:00:57.191807,2025-04-24 21:00:57.993505,0 days 00:00:00.801698,absolute_error,34,sqrt,1,7,best,TPESampler,COMPLETE
78,0.6152852769125877,2025-04-24 21:00:57.700308,2025-04-24 21:00:58.576574,0 days 00:00:00.876266,absolute_error,33,sqrt,1,8,random,TPESampler,COMPLETE
79,0.5420808440475647,2025-04-24 21:00:58.136015,2025-04-24 21:00:58.839471,0 days 00:00:00.703456,squared_error,31,sqrt,1,12,best,TPESampler,COMPLETE
80,0.5378902223820379,2025-04-24 21:00:58.220455,2025-04-24 21:00:59.166014,0 days 00:00:00.945559,friedman_mse,24,sqrt,1,6,best,TPESampler,COMPLETE
81,0.8767756438403109,2025-04-24 21:00:58.838129,2025-04-24 21:00:59.515131,0 days 00:00:00.677002,absolute_error,10,sqrt,9,16,random,TPESampler,COMPLETE
82,0.6180856799418332,2025-04-24 21:00:59.122212,2025-04-24 21:00:59.845288,0 days 00:00:00.723076,squared_error,28,sqrt,2,7,best,TPESampler,COMPLETE
83,0.48921668337565616,2025-04-24 21:00:59.412394,2025-04-24 21:01:00.252875,0 days 00:00:00.840481,squared_error,32,sqrt,1,6,best,TPESampler,COMPLETE
84,0.9015251732962958,2025-04-24 21:00:59.728620,2025-04-24 21:01:00.586709,0 days 00:00:00.858089,absolute_error,27,log2,10,6,best,TPESampler,COMPLETE
85,0.7479967321897958,2025-04-24 21:01:00.165976,2025-04-24 21:01:01.012547,0 days 00:00:00.846571,absolute_error,34,log2,3,12,best,TPESampler,COMPLETE
86,0.6265479990281826,2025-04-24 21:01:00.493922,2025-04-24 21:01:01.207652,0 days 00:00:00.713730,squared_error,34,sqrt,2,4,best,TPESampler,COMPLETE
87,0.5197703343770413,2025-04-24 21:01:00.801616,2025-04-24 21:01:01.538331,0 days 00:00:00.736715,absolute_error,35,sqrt,1,11,best,TPESampler,COMPLETE
88,0.8731826145145795,2025-04-24 21:01:01.267355,2025-04-24 21:01:01.900648,0 days 00:00:00.633293,squared_error,4,sqrt,8,19,best,TPESampler,COMPLETE
89,0.90157797490464,2025-04-24 21:01:01.496961,2025-04-24 21:01:02.209851,0 days 00:00:00.712890,friedman_mse,26,log2,8,13,best,TPESampler,COMPLETE
90,0.5339224783480143,2025-04-24 21:01:01.794851,2025-04-24 21:01:02.559765,0 days 00:00:00.764914,squared_error,35,sqrt,1,8,best,TPESampler,COMPLETE
91,0.878930627702796,2025-04-24 21:01:02.110257,2025-04-24 21:01:02.935259,0 days 00:00:00.825002,friedman_mse,21,log2,6,13,random,TPESampler,COMPLETE
92,0.5724846347554697,2025-04-24 21:01:02.461313,2025-04-24 21:01:03.216301,0 days 00:00:00.754988,squared_error,30,sqrt,1,7,best,TPESampler,COMPLETE
93,0.6071761720802944,2025-04-24 21:01:02.750164,2025-04-24 21:01:03.549028,0 days 00:00:00.798864,squared_error,34,sqrt,3,13,random,TPESampler,COMPLETE
94,0.90157797490464,2025-04-24 21:01:03.169739,2025-04-24 21:01:03.903089,0 days 00:00:00.733350,friedman_mse,8,log2,9,6,best,TPESampler,COMPLETE
95,0.878930627702796,2025-04-24 21:01:03.466587,2025-04-24 21:01:04.207189,0 days 00:00:00.740602,squared_error,14,log2,6,6,random,TPESampler,COMPLETE
96,0.7940849586441125,2025-04-24 21:01:03.795864,2025-04-24 21:01:04.621322,0 days 00:00:00.825458,squared_error,6,sqrt,3,3,random,TPESampler,COMPLETE
97,0.8737590921917946,2025-04-24 21:01:04.161748,2025-04-24 21:01:05.044690,0 days 00:00:00.882942,friedman_mse,18,sqrt,10,12,random,TPESampler,COMPLETE
98,0.5517493393728706,2025-04-24 21:01:04.517240,2025-04-24 21:01:05.446655,0 days 00:00:00.929415,squared_error,35,sqrt,1,4,best,TPESampler,COMPLETE
99,0.5020512557327408,2025-04-24 21:01:04.901405,2025-04-24 21:01:05.792891,0 days 00:00:00.891486,squared_error,30,sqrt,1,8,best,TPESampler,COMPLETE
100,0.6825419058975224,2025-04-24 21:01:05.339376,2025-04-24 21:01:06.124644,0 days 00:00:00.785268,friedman_mse,33,sqrt,4,5,best,TPESampler,COMPLETE
101,0.8924085383115729,2025-04-24 21:01:05.727257,2025-04-24 21:01:06.523328,0 days 00:00:00.796071,friedman_mse,2,log2,4,15,best,TPESampler,COMPLETE
102,0.6180856799418332,2025-04-24 21:01:06.057370,2025-04-24 21:01:07.029905,0 days 00:00:00.972535,squared_error,27,sqrt,2,7,best,TPESampler,COMPLETE
103,0.5085288623263258,2025-04-24 21:01:06.407253,2025-04-24 21:01:07.488217,0 days 00:00:01.080964,squared_error,35,sqrt,1,9,best,TPESampler,COMPLETE
104,0.6504215924944643,2025-04-24 21:01:06.819574,2025-04-24 21:01:07.869415,0 days 00:00:01.049841,squared_error,34,sqrt,3,9,best,TPESampler,COMPLETE
105,0.5353038969897329,2025-04-24 21:01:07.470941,2025-04-24 21:01:08.270728,0 days 00:00:00.799787,squared_error,34,sqrt,1,12,best,TPESampler,COMPLETE
