number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
73,0.45627240934088864,2025-04-24 21:01:02.747108,2025-04-24 21:01:03.521037,0 days 00:00:00.773929,squared_error,34,log2,1,2,best,TPESampler,COMPLETE
74,0.4646442062482263,2025-04-24 21:01:03.282536,2025-04-24 21:01:04.053436,0 days 00:00:00.770900,squared_error,35,log2,1,3,best,TPESampler,COMPLETE
75,0.4517794511521974,2025-04-24 21:01:03.586865,2025-04-24 21:01:04.421799,0 days 00:00:00.834934,squared_error,34,log2,1,4,best,TPESampler,COMPLETE
76,0.9494322793442198,2025-04-24 21:01:03.772827,2025-04-24 21:01:04.595888,0 days 00:00:00.823061,friedman_mse,5,log2,4,2,best,TPESampler,COMPLETE
77,0.922426147955362,2025-04-24 21:01:04.319542,2025-04-24 21:01:05.081736,0 days 00:00:00.762194,squared_error,35,log2,2,11,random,TPESampler,COMPLETE
78,0.9486947174197512,2025-04-24 21:01:04.668825,2025-04-24 21:01:05.490508,0 days 00:00:00.821683,squared_error,1,sqrt,6,3,best,TPESampler,COMPLETE
79,0.5064927807511617,2025-04-24 21:01:04.890198,2025-04-24 21:01:05.835881,0 days 00:00:00.945683,squared_error,34,sqrt,1,2,best,TPESampler,COMPLETE
80,0.44670023329729247,2025-04-24 21:01:05.419197,2025-04-24 21:01:06.244510,0 days 00:00:00.825313,squared_error,35,log2,1,7,best,TPESampler,COMPLETE
81,1.0190535933749674,2025-04-24 21:01:05.777321,2025-04-24 21:01:06.579516,0 days 00:00:00.802195,absolute_error,4,sqrt,3,12,best,TPESampler,COMPLETE
82,0.49441090632956214,2025-04-24 21:01:06.133008,2025-04-24 21:01:07.198744,0 days 00:00:01.065736,squared_error,33,log2,1,11,best,TPESampler,COMPLETE
83,0.6692087088741673,2025-04-24 21:01:06.484623,2025-04-24 21:01:07.675743,0 days 00:00:01.191120,squared_error,30,log2,1,9,best,TPESampler,COMPLETE
84,0.44670023329729247,2025-04-24 21:01:06.942194,2025-04-24 21:01:07.995741,0 days 00:00:01.053547,squared_error,35,log2,1,7,best,TPESampler,COMPLETE
85,1.0007431665713944,2025-04-24 21:01:07.506062,2025-04-24 21:01:08.371225,0 days 00:00:00.865163,absolute_error,12,log2,9,3,random,TPESampler,COMPLETE
86,0.4948844885027081,2025-04-24 21:01:08.057514,2025-04-24 21:01:08.772075,0 days 00:00:00.714561,squared_error,35,log2,1,9,best,TPESampler,COMPLETE
87,0.9993409537053991,2025-04-24 21:01:08.307898,2025-04-24 21:01:09.147708,0 days 00:00:00.839810,absolute_error,31,sqrt,8,12,random,TPESampler,COMPLETE
88,0.8894105515009568,2025-04-24 21:01:08.658444,2025-04-24 21:01:09.337676,0 days 00:00:00.679232,squared_error,14,sqrt,9,9,best,TPESampler,COMPLETE
89,0.9671029066257907,2025-04-24 21:01:09.089269,2025-04-24 21:01:09.721045,0 days 00:00:00.631776,absolute_error,30,log2,2,6,random,TPESampler,COMPLETE
90,0.49345057673125364,2025-04-24 21:01:09.445082,2025-04-24 21:01:10.206205,0 days 00:00:00.761123,squared_error,33,log2,1,7,best,TPESampler,COMPLETE
91,0.9494322793442198,2025-04-24 21:01:09.603089,2025-04-24 21:01:10.433743,0 days 00:00:00.830654,friedman_mse,16,log2,10,7,best,TPESampler,COMPLETE
92,0.654454193048308,2025-04-24 21:01:10.059956,2025-04-24 21:01:10.717731,0 days 00:00:00.657775,absolute_error,35,log2,1,9,best,TPESampler,COMPLETE
93,0.5046293507598797,2025-04-24 21:01:10.444397,2025-04-24 21:01:11.078379,0 days 00:00:00.633982,squared_error,33,log2,1,3,best,TPESampler,COMPLETE
94,0.9494322793442198,2025-04-24 21:01:10.671537,2025-04-24 21:01:11.359723,0 days 00:00:00.688186,squared_error,35,log2,4,7,best,TPESampler,COMPLETE
95,1.0007431665713944,2025-04-24 21:01:10.963250,2025-04-24 21:01:11.702061,0 days 00:00:00.738811,absolute_error,29,log2,10,8,best,TPESampler,COMPLETE
96,0.9494322793442198,2025-04-24 21:01:11.308021,2025-04-24 21:01:12.036972,0 days 00:00:00.728951,friedman_mse,35,log2,10,10,random,TPESampler,COMPLETE
97,0.9494322793442198,2025-04-24 21:01:11.611749,2025-04-24 21:01:12.404080,0 days 00:00:00.792331,friedman_mse,25,log2,6,14,random,TPESampler,COMPLETE
98,0.9494322793442198,2025-04-24 21:01:11.984841,2025-04-24 21:01:12.710967,0 days 00:00:00.726126,squared_error,6,log2,8,9,random,TPESampler,COMPLETE
99,0.45627240934088864,2025-04-24 21:01:12.293811,2025-04-24 21:01:13.055261,0 days 00:00:00.761450,squared_error,34,log2,1,2,best,TPESampler,COMPLETE
100,0.7038708707407538,2025-04-24 21:01:12.623250,2025-04-24 21:01:13.416127,0 days 00:00:00.792877,squared_error,22,log2,1,3,best,TPESampler,COMPLETE
101,0.7975493713728398,2025-04-24 21:01:12.956523,2025-04-24 21:01:13.745189,0 days 00:00:00.788666,squared_error,28,log2,2,2,best,TPESampler,COMPLETE
102,0.5157873063065417,2025-04-24 21:01:13.352203,2025-04-24 21:01:14.063194,0 days 00:00:00.710991,squared_error,34,log2,1,5,best,TPESampler,COMPLETE
103,0.6723712143681343,2025-04-24 21:01:13.639659,2025-04-24 21:01:14.432971,0 days 00:00:00.793312,friedman_mse,29,log2,1,3,best,TPESampler,COMPLETE
104,0.7840016422444951,2025-04-24 21:01:13.966434,2025-04-24 21:01:14.770809,0 days 00:00:00.804375,absolute_error,29,log2,2,2,best,TPESampler,COMPLETE
105,0.4778216987320454,2025-04-24 21:01:14.325113,2025-04-24 21:01:15.477261,0 days 00:00:01.152148,squared_error,33,log2,1,2,best,TPESampler,COMPLETE
106,1.0169646864906652,2025-04-24 21:01:14.691951,2025-04-24 21:01:15.776842,0 days 00:00:01.084891,absolute_error,11,sqrt,7,3,best,TPESampler,COMPLETE
107,0.7975493713728398,2025-04-24 21:01:15.110597,2025-04-24 21:01:16.042955,0 days 00:00:00.932358,squared_error,35,log2,2,2,best,TPESampler,COMPLETE
108,0.9671029066257907,2025-04-24 21:01:15.811498,2025-04-24 21:01:16.540504,0 days 00:00:00.729006,absolute_error,7,log2,3,18,random,TPESampler,COMPLETE
109,0.9182173105176079,2025-04-24 21:01:16.040617,2025-04-24 21:01:16.899363,0 days 00:00:00.858746,friedman_mse,35,log2,1,2,random,TPESampler,COMPLETE
110,0.4605209589836094,2025-04-24 21:01:16.297261,2025-04-24 21:01:17.209903,0 days 00:00:00.912642,squared_error,35,log2,1,2,best,TPESampler,COMPLETE
111,0.48051683833886516,2025-04-24 21:01:16.790624,2025-04-24 21:01:17.401866,0 days 00:00:00.611242,squared_error,35,log2,1,8,best,TPESampler,COMPLETE
112,0.5093621405173775,2025-04-24 21:01:17.154615,2025-04-24 21:01:17.792887,0 days 00:00:00.638272,squared_error,32,log2,1,3,best,TPESampler,COMPLETE
113,0.9494322793442198,2025-04-24 21:01:17.464134,2025-04-24 21:01:18.317920,0 days 00:00:00.853786,squared_error,35,log2,7,17,best,TPESampler,COMPLETE
114,0.45627240934088864,2025-04-24 21:01:17.665302,2025-04-24 21:01:18.377933,0 days 00:00:00.712631,squared_error,34,log2,1,2,best,TPESampler,COMPLETE
115,0.8894105515009568,2025-04-24 21:01:18.116117,2025-04-24 21:01:19.228878,0 days 00:00:01.112761,friedman_mse,22,sqrt,9,20,best,TPESampler,COMPLETE
116,0.4605209589836094,2025-04-24 21:01:18.580710,2025-04-24 21:01:19.452262,0 days 00:00:00.871552,squared_error,35,log2,1,2,best,TPESampler,COMPLETE
117,0.4881349703848251,2025-04-24 21:01:18.648346,2025-04-24 21:01:19.548119,0 days 00:00:00.899773,squared_error,34,log2,1,3,best,TPESampler,COMPLETE
118,0.4646442062482263,2025-04-24 21:01:19.477762,2025-04-24 21:01:20.372739,0 days 00:00:00.894977,squared_error,35,log2,1,3,best,TPESampler,COMPLETE
119,0.4605209589836094,2025-04-24 21:01:19.663023,2025-04-24 21:01:20.629442,0 days 00:00:00.966419,squared_error,35,log2,1,2,best,TPESampler,COMPLETE
120,0.922426147955362,2025-04-24 21:01:19.826720,2025-04-24 21:01:20.662624,0 days 00:00:00.835904,squared_error,35,log2,4,5,random,TPESampler,COMPLETE
121,0.4646442062482263,2025-04-24 21:01:20.624435,2025-04-24 21:01:21.233609,0 days 00:00:00.609174,squared_error,35,log2,1,3,best,TPESampler,COMPLETE
122,0.9494322793442198,2025-04-24 21:01:20.852092,2025-04-24 21:01:21.649641,0 days 00:00:00.797549,squared_error,14,log2,7,5,best,TPESampler,COMPLETE
123,0.922426147955362,2025-04-24 21:01:21.033881,2025-04-24 21:01:21.884843,0 days 00:00:00.850962,friedman_mse,2,log2,5,16,random,TPESampler,COMPLETE
124,0.9494322793442198,2025-04-24 21:01:21.522763,2025-04-24 21:01:22.235205,0 days 00:00:00.712442,squared_error,5,log2,4,13,best,TPESampler,COMPLETE
125,1.0234382327956146,2025-04-24 21:01:21.941038,2025-04-24 21:01:22.736184,0 days 00:00:00.795146,absolute_error,4,sqrt,10,18,best,TPESampler,COMPLETE
126,0.9494322793442198,2025-04-24 21:01:22.122091,2025-04-24 21:01:22.832595,0 days 00:00:00.710504,squared_error,35,log2,4,2,best,TPESampler,COMPLETE
127,0.7975493713728398,2025-04-24 21:01:22.643856,2025-04-24 21:01:23.616043,0 days 00:00:00.972187,squared_error,30,log2,2,2,best,TPESampler,COMPLETE
128,0.9638042122577196,2025-04-24 21:01:22.944101,2025-04-24 21:01:23.820968,0 days 00:00:00.876867,absolute_error,18,sqrt,3,11,random,TPESampler,COMPLETE
129,1.0007431665713944,2025-04-24 21:01:23.101442,2025-04-24 21:01:23.943767,0 days 00:00:00.842325,absolute_error,2,log2,8,14,best,TPESampler,COMPLETE
