number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
103,0.3132320095837575,2025-04-24 21:28:40.030934,2025-04-24 21:28:40.545365,0 days 00:00:00.514431,4.4227644615577955,0.053876227017531364,0.017779632806153398,rbf,TPESampler,COMPLETE
104,0.9586436453483427,2025-04-24 21:28:40.796979,2025-04-24 21:28:41.344625,0 days 00:00:00.547646,44.036041308289015,0.0010163451248949363,0.00013271578236596354,poly,TPESampler,COMPLETE
105,295.0627723250541,2025-04-24 21:28:41.508698,2025-04-24 21:28:42.018324,0 days 00:00:00.509626,13.44118951597264,0.03420950988853158,0.27344217900513607,sigmoid,TPESampler,COMPLETE
106,0.2639585229446388,2025-04-24 21:28:42.178570,2025-04-24 21:28:42.713214,0 days 00:00:00.534644,5.032786445085413,0.04364217616005557,0.07636951086734384,rbf,TPESampler,COMPLETE
107,0.27201661753197504,2025-04-24 21:28:42.884451,2025-04-24 21:28:43.429169,0 days 00:00:00.544718,9.549123616901012,0.029783074005156514,0.11688656161697562,rbf,TPESampler,COMPLETE
108,0.267983872414636,2025-04-24 21:28:43.592556,2025-04-24 21:28:44.127381,0 days 00:00:00.534825,3.6987340518660314,0.0298188208085868,0.06710775065946689,rbf,TPESampler,COMPLETE
109,0.5026445442656192,2025-04-24 21:28:44.324744,2025-04-24 21:28:49.443618,0 days 00:00:05.118874,16.814389055882124,0.005121000130887965,0.7497921835373235,linear,TPESampler,COMPLETE
110,0.3038888806082362,2025-04-24 21:28:49.604542,2025-04-24 21:28:50.125381,0 days 00:00:00.520839,0.9171810897260322,0.03899640404336095,0.08631401263539162,rbf,TPESampler,COMPLETE
111,0.9497070398168053,2025-04-24 21:28:50.293626,2025-04-24 21:28:50.797707,0 days 00:00:00.504081,0.002338875101783815,0.09580976216556862,0.005390190708381673,poly,TPESampler,COMPLETE
112,0.3035613530164268,2025-04-24 21:28:50.961533,2025-04-24 21:28:51.460444,0 days 00:00:00.498911,2.1907900087275456,0.16574037325093283,0.04656663389179422,rbf,TPESampler,COMPLETE
113,0.2666992398881087,2025-04-24 21:28:51.626963,2025-04-24 21:28:52.330359,0 days 00:00:00.703396,6.519526601775224,0.029763000629494836,0.05703712852680218,rbf,TPESampler,COMPLETE
114,0.4919809779608697,2025-04-24 21:28:52.523097,2025-04-24 21:28:54.112375,0 days 00:00:01.589278,4.175618204607646,0.05245215677092679,0.0004791306853276586,linear,TPESampler,COMPLETE
115,0.2822525960907122,2025-04-24 21:28:54.290927,2025-04-24 21:28:54.800208,0 days 00:00:00.509281,2.9661618900505315,0.06448603328345012,0.05162163606060386,rbf,TPESampler,COMPLETE
116,0.6111572023733353,2025-04-24 21:28:54.955825,2025-04-24 21:34:35.485113,0 days 00:05:40.529288,2.9724148712199163,0.07294897717851932,0.08586247853386073,poly,TPESampler,COMPLETE
117,0.37708978217224703,2025-04-24 21:34:35.651870,2025-04-24 21:34:36.198217,0 days 00:00:00.546347,0.6866528904000818,0.0016302687463023294,0.023619023079624383,rbf,TPESampler,COMPLETE
118,0.30323640947672537,2025-04-24 21:34:36.348921,2025-04-24 21:34:36.873157,0 days 00:00:00.524236,3.9203375246741654,0.021875959579749242,0.02281519935166142,rbf,TPESampler,COMPLETE
119,3.461049753946195,2025-04-24 21:34:37.046419,2025-04-24 21:34:37.556312,0 days 00:00:00.509893,29.411267223590574,0.5098144103312744,0.0011399863287113556,sigmoid,TPESampler,COMPLETE
120,24.938769352201344,2025-04-24 21:34:37.737476,2025-04-24 21:34:38.261944,0 days 00:00:00.524468,1.962776835780496,0.028495981109651222,0.01728708737572488,sigmoid,TPESampler,COMPLETE
121,0.7237610775538497,2025-04-24 21:34:38.428341,2025-04-24 21:34:43.414367,0 days 00:00:04.986026,0.0028569004653834,0.8570897519304882,0.7521612578614456,poly,TPESampler,COMPLETE
122,0.2656525134687999,2025-04-24 21:34:43.579376,2025-04-24 21:34:44.155557,0 days 00:00:00.576181,11.470136853838868,0.03867452320069285,0.05999939019331323,rbf,TPESampler,COMPLETE
