number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
110,0.6005958457854215,2025-04-24 21:01:00.871657,2025-04-24 21:01:01.525084,0 days 00:00:00.653427,friedman_mse,33,sqrt,1,6,random,TPESampler,COMPLETE
111,0.6814177030595521,2025-04-24 21:01:01.114667,2025-04-24 21:01:01.889580,0 days 00:00:00.774913,friedman_mse,25,sqrt,3,2,best,TPESampler,COMPLETE
112,0.6635171443360832,2025-04-24 21:01:01.427557,2025-04-24 21:01:02.220938,0 days 00:00:00.793381,absolute_error,26,sqrt,2,15,best,TPESampler,COMPLETE
113,0.9581948037924227,2025-04-24 21:01:01.774998,2025-04-24 21:01:02.490889,0 days 00:00:00.715891,absolute_error,17,sqrt,6,12,random,TPESampler,COMPLETE
114,0.5669738735012982,2025-04-24 21:01:02.223234,2025-04-24 21:01:02.919462,0 days 00:00:00.696228,friedman_mse,35,sqrt,1,4,random,TPESampler,COMPLETE
115,0.5910861426343554,2025-04-24 21:01:02.503594,2025-04-24 21:01:03.321563,0 days 00:00:00.817969,friedman_mse,35,sqrt,1,6,random,TPESampler,COMPLETE
116,0.5950903114898565,2025-04-24 21:01:02.695444,2025-04-24 21:01:03.509648,0 days 00:00:00.814204,friedman_mse,34,sqrt,1,4,random,TPESampler,COMPLETE
117,0.6212009730019902,2025-04-24 21:01:03.196397,2025-04-24 21:01:03.828529,0 days 00:00:00.632132,friedman_mse,32,sqrt,1,6,random,TPESampler,COMPLETE
118,0.5669738735012982,2025-04-24 21:01:03.561819,2025-04-24 21:01:04.339868,0 days 00:00:00.778049,friedman_mse,35,sqrt,1,4,random,TPESampler,COMPLETE
119,0.6274646664513288,2025-04-24 21:01:03.722187,2025-04-24 21:01:04.549253,0 days 00:00:00.827066,friedman_mse,29,sqrt,1,3,random,TPESampler,COMPLETE
