number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
680,0.8883865475654602,2025-04-25 22:47:35.953017,2025-04-25 22:47:40.561744,0 days 00:00:04.608727,1,122,416,200.0,,,2,128,0.014778570727754035,0.0011047714127048285,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_680_best_state.pt,"{'learning_rate': 0.0011047714127048285, 'lr_reduce': 0.6}",TPESampler,COMPLETE
681,0.12302956730127335,2025-04-25 22:47:40.817302,2025-04-25 22:47:57.056294,0 days 00:00:16.238992,1,59,96,133.0,,,2,112,0.1869360426967744,0.001400046096060034,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_681_best_state.pt,"{'learning_rate': 0.001400046096060034, 'lr_reduce': 0.6}",TPESampler,COMPLETE
682,0.13439764082431793,2025-04-25 22:47:45.851206,2025-04-25 22:48:15.594731,0 days 00:00:29.743525,1,89,183,443.0,142.0,,3,94,0.14983422524966716,0.002408337670563794,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_682_best_state.pt,"{'learning_rate': 0.002408337670563794, 'lr_reduce': 0.6}",TPESampler,COMPLETE
683,0.12669189274311066,2025-04-25 22:47:49.810401,2025-04-25 22:48:18.197096,0 days 00:00:28.386695,1,101,217,,,,1,117,0.0044567360548451035,0.0010680514148682391,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_683_best_state.pt,"{'learning_rate': 0.0010680514148682391, 'lr_reduce': 0.6}",TPESampler,COMPLETE
684,0.15839256346225739,2025-04-25 22:47:57.306507,2025-04-25 22:48:35.606927,0 days 00:00:38.300420,1,81,147,258.0,,,2,123,0.17269608933338365,0.000719669231869762,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_684_best_state.pt,"{'learning_rate': 0.000719669231869762, 'lr_reduce': 0.6}",TPESampler,COMPLETE
685,0.15469327569007874,2025-04-25 22:48:15.834224,2025-04-25 22:48:39.927011,0 days 00:00:24.092787,1,118,180,129.0,122.0,446.0,4,90,0.09184827970161136,0.0018618772327535949,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_685_best_state.pt,"{'learning_rate': 0.0018618772327535949, 'lr_reduce': 0.6}",TPESampler,COMPLETE
686,0.16693244874477386,2025-04-25 22:48:18.438115,2025-04-25 22:48:57.476425,0 days 00:00:39.038310,2,76,507,325.0,65.0,,3,107,0.14935552341500652,0.0018280179767887939,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_686_best_state.pt,"{'learning_rate': 0.0018280179767887939, 'lr_reduce': 0.6}",TPESampler,COMPLETE
687,0.8888899683952332,2025-04-25 22:48:35.855119,2025-04-25 22:48:41.037627,0 days 00:00:05.182508,2,59,501,64.0,,,2,96,0.19898932467084857,0.0024603168722587953,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_687_best_state.pt,"{'learning_rate': 0.0024603168722587953, 'lr_reduce': 0.6}",TPESampler,COMPLETE
688,0.21495822072029114,2025-04-25 22:48:40.186880,2025-04-25 22:48:55.523728,0 days 00:00:15.336848,1,62,484,173.0,,,2,111,0.22800364173443127,0.009425547352721254,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_688_best_state.pt,"{'learning_rate': 0.009425547352721254, 'lr_reduce': 0.6}",TPESampler,COMPLETE
689,0.1629212647676468,2025-04-25 22:48:41.373416,2025-04-25 22:48:56.847479,0 days 00:00:15.474063,1,58,406,114.0,,,2,96,0.24177558317990622,0.0045946273777005,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_689_best_state.pt,"{'learning_rate': 0.0045946273777005, 'lr_reduce': 0.6}",TPESampler,COMPLETE
690,0.8885725140571594,2025-04-25 22:48:55.762435,2025-04-25 22:49:01.255952,0 days 00:00:05.493517,4,48,316,,,,1,90,0.12178141353675626,0.001125882339685337,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_690_best_state.pt,"{'learning_rate': 0.001125882339685337, 'lr_reduce': 0.6}",TPESampler,COMPLETE
691,0.11404607445001602,2025-04-25 22:48:57.159346,2025-04-25 22:49:18.522624,0 days 00:00:21.363278,1,102,285,188.0,150.0,,3,118,0.16474456419647993,0.0016098763431219758,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_691_best_state.pt,"{'learning_rate': 0.0016098763431219758, 'lr_reduce': 0.6}",TPESampler,COMPLETE
