number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
56,0.16051722140861271,2025-04-24 21:00:25.000514,2025-04-24 21:00:26.322393,0 days 00:00:01.321879,1.959060303640012,0.0052081249388860815,0.08253629353788056,linear,TPESampler,COMPLETE
57,0.2079955578507933,2025-04-24 21:00:26.524009,2025-04-24 21:00:28.314660,0 days 00:00:01.790651,75.00607594016752,0.14944424698843675,0.020172556917461795,linear,TPESampler,COMPLETE
58,0.15449374649929,2025-04-24 21:00:28.387262,2025-04-24 21:00:51.984684,0 days 00:00:23.597422,66.28331840164174,0.01190439769681498,0.026137324253566623,linear,TPESampler,COMPLETE
59,0.15337906453905753,2025-04-24 21:00:28.455957,2025-04-24 21:00:59.421079,0 days 00:00:30.965122,90.99557712873744,0.01432389898986138,0.010375579684869669,linear,TPESampler,COMPLETE
60,0.15528189374005444,2025-04-24 21:00:33.577815,2025-04-24 21:00:47.853441,0 days 00:00:14.275626,30.44650571843287,0.005509079797796117,0.6563131732842078,linear,TPESampler,COMPLETE
61,3.3512677176356545,2025-04-24 21:00:48.037722,2025-04-24 21:17:29.913731,0 days 00:16:41.876009,14.078488497587488,0.020123449986564672,0.5211436628134212,poly,TPESampler,COMPLETE
62,209.51936020698454,2025-04-24 21:00:52.167679,2025-04-24 21:00:52.688777,0 days 00:00:00.521098,63.36805247334611,0.06895824260761095,0.007149867608007836,sigmoid,TPESampler,COMPLETE
63,0.15751495887301956,2025-04-24 21:00:52.873931,2025-04-24 21:01:09.488969,0 days 00:00:16.615038,93.33701406802045,0.048685243382235066,0.0001025302287667282,linear,TPESampler,COMPLETE
64,0.20171385054501503,2025-04-24 21:00:59.593672,2025-04-24 21:01:00.243437,0 days 00:00:00.649765,85.12677515815454,0.010127896361829454,0.002077501385739083,rbf,TPESampler,COMPLETE
65,0.15688815266215012,2025-04-24 21:01:00.433822,2025-04-24 21:01:01.723131,0 days 00:00:01.289309,2.5810641471052125,0.034818582854872125,0.06900751740071485,linear,TPESampler,COMPLETE
66,126.52791413215658,2025-04-24 21:01:01.908492,2025-04-24 21:01:02.448920,0 days 00:00:00.540428,7.05238391309654,0.17071985845761908,0.7415645031670225,sigmoid,TPESampler,COMPLETE
67,0.9155481130359978,2025-04-24 21:01:02.627576,2025-04-24 21:01:03.165323,0 days 00:00:00.537747,83.18778955050284,0.015012485295902173,0.0004198031292204257,poly,TPESampler,COMPLETE
68,1.5795843136184122,2025-04-24 21:01:03.349846,2025-04-24 21:01:03.865067,0 days 00:00:00.515221,0.03632459100242835,0.03351556574581712,0.38872869485053063,sigmoid,TPESampler,COMPLETE
69,0.15988829134730964,2025-04-24 21:01:04.072961,2025-04-24 21:01:08.035298,0 days 00:00:03.962337,20.153887486899325,0.05175859304210523,0.01339846026293706,linear,TPESampler,COMPLETE
70,1.4029754157956007,2025-04-24 21:01:08.232430,2025-04-24 21:01:08.770344,0 days 00:00:00.537914,0.001086018956901452,0.2625338775389934,0.8347396450212058,sigmoid,TPESampler,COMPLETE
71,0.15750893264324073,2025-04-24 21:01:08.952309,2025-04-24 21:01:19.475846,0 days 00:00:10.523537,89.76613675405513,0.050291905320351146,0.001329008006383633,linear,TPESampler,COMPLETE
