number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
1378,0.10131549090147018,2025-04-26 09:58:49.031114,2025-04-26 09:59:08.203836,0 days 00:00:19.172722,1,52,128,321.0,415.0,,3,128,0.023609887509666076,0.005213555603758792,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1378_best_state.pt,"{'learning_rate': 0.005213555603758792, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1379,0.4959474503993988,2025-04-26 09:59:06.847527,2025-04-26 09:59:15.263036,0 days 00:00:08.415509,1,114,301,426.0,,,2,128,0.24191315369643346,0.0062381632456029205,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1379_best_state.pt,"{'learning_rate': 0.0062381632456029205, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1380,0.42812874913215637,2025-04-26 09:59:08.430649,2025-04-26 09:59:18.946786,0 days 00:00:10.516137,1,57,447,360.0,372.0,,3,91,0.20728541547597806,0.008082098712232831,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1380_best_state.pt,"{'learning_rate': 0.008082098712232831, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1381,0.1440964639186859,2025-04-26 09:59:15.507131,2025-04-26 09:59:34.269154,0 days 00:00:18.762023,1,57,282,267.0,310.0,,3,100,0.1921831057953877,0.003978795834897017,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1381_best_state.pt,"{'learning_rate': 0.003978795834897017, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1382,0.29593369364738464,2025-04-26 09:59:19.174860,2025-04-26 09:59:40.940215,0 days 00:00:21.765355,2,91,318,,,,1,121,0.22168193282050064,0.006201957541680434,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1382_best_state.pt,"{'learning_rate': 0.006201957541680434, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1383,0.22929295897483826,2025-04-26 09:59:20.739776,2025-04-26 09:59:37.409845,0 days 00:00:16.670069,1,33,219,388.0,430.0,235.0,4,110,0.00252268540441534,0.005715682783374423,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1383_best_state.pt,"{'learning_rate': 0.005715682783374423, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1384,0.1170882061123848,2025-04-26 09:59:34.506401,2025-04-26 09:59:57.649995,0 days 00:00:23.143594,1,33,408,458.0,371.0,324.0,4,90,0.204809419856495,0.007232934515488968,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1384_best_state.pt,"{'learning_rate': 0.007232934515488968, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1385,0.1500837802886963,2025-04-26 09:59:37.640639,2025-04-26 09:59:59.838110,0 days 00:00:22.197471,1,111,350,323.0,,,2,110,0.1887703852841434,0.0032173348810751517,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1385_best_state.pt,"{'learning_rate': 0.0032173348810751517, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1386,0.10370279103517532,2025-04-26 09:59:41.145173,2025-04-26 10:00:08.540087,0 days 00:00:27.394914,1,34,83,,,,1,128,0.08821135306976433,0.005660003053385979,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1386_best_state.pt,"{'learning_rate': 0.005660003053385979, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1387,0.5211633443832397,2025-04-26 09:59:57.897112,2025-04-26 10:00:06.116348,0 days 00:00:08.219236,2,38,506,,,,1,78,0.18214254607833036,0.005842744953527761,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1387_best_state.pt,"{'learning_rate': 0.005842744953527761, 'lr_reduce': 0.6}",TPESampler,COMPLETE
