number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
78,0.41641695308756965,2025-04-24 21:36:30.831300,2025-04-24 21:36:34.828760,0 days 00:00:03.997460,True,squared_error,46,,3,3,989,TPESampler,COMPLETE
79,0.4235551354055436,2025-04-24 21:36:35.000894,2025-04-24 21:36:40.936892,0 days 00:00:05.935998,True,squared_error,38,,1,2,944,TPESampler,COMPLETE
80,0.4161605557438797,2025-04-24 21:36:41.104383,2025-04-24 21:36:44.767749,0 days 00:00:03.663366,True,squared_error,32,,3,2,892,TPESampler,COMPLETE
81,0.4158056030853524,2025-04-24 21:36:44.927659,2025-04-24 21:37:44.994599,0 days 00:01:00.066940,True,absolute_error,43,,1,4,863,TPESampler,COMPLETE
82,0.40247486633039964,2025-04-24 21:36:58.474745,2025-04-24 21:37:02.222505,0 days 00:00:03.747760,True,squared_error,43,,2,2,796,TPESampler,COMPLETE
83,0.40254484494269976,2025-04-24 21:37:02.383347,2025-04-24 21:37:06.264237,0 days 00:00:03.880890,True,squared_error,39,,2,2,833,TPESampler,COMPLETE
84,0.4160082396424798,2025-04-24 21:37:06.427197,2025-04-24 21:37:09.842265,0 days 00:00:03.415068,True,squared_error,48,,3,2,823,TPESampler,COMPLETE
85,0.9712967285128232,2025-04-24 21:37:10.027055,2025-04-24 21:37:11.616214,0 days 00:00:01.589159,True,squared_error,31,sqrt,3,3,869,TPESampler,COMPLETE
86,0.40287975309412966,2025-04-24 21:37:11.774988,2025-04-24 21:37:46.714910,0 days 00:00:34.939922,True,absolute_error,50,,2,2,839,TPESampler,COMPLETE
87,0.40260628097815315,2025-04-24 21:37:13.557021,2025-04-24 21:37:17.655416,0 days 00:00:04.098395,True,squared_error,44,,2,3,870,TPESampler,COMPLETE
88,0.40345781407644027,2025-04-24 21:37:17.813997,2025-04-24 21:37:21.398998,0 days 00:00:03.585001,True,squared_error,31,,2,2,742,TPESampler,COMPLETE
89,0.4025565501301357,2025-04-24 21:37:21.557645,2025-04-24 21:37:25.884459,0 days 00:00:04.326814,True,squared_error,42,,2,3,932,TPESampler,COMPLETE
90,0.4022832800052251,2025-04-24 21:37:26.048609,2025-04-24 21:37:30.594760,0 days 00:00:04.546151,True,squared_error,46,,2,2,994,TPESampler,COMPLETE
91,0.40251332426735736,2025-04-24 21:37:30.754632,2025-04-24 21:37:34.942295,0 days 00:00:04.187663,True,squared_error,47,,2,2,908,TPESampler,COMPLETE
92,0.42367257090131827,2025-04-24 21:37:35.102120,2025-04-24 21:37:41.124392,0 days 00:00:06.022272,True,squared_error,47,,1,2,940,TPESampler,COMPLETE
93,1.2294735897551223,2025-04-24 21:37:41.291506,2025-04-24 21:37:42.794219,0 days 00:00:01.502713,True,squared_error,46,log2,2,3,851,TPESampler,COMPLETE
94,0.40222958926160896,2025-04-24 21:37:42.949894,2025-04-24 21:37:48.175694,0 days 00:00:05.225800,True,squared_error,42,,2,2,983,TPESampler,COMPLETE
95,0.4037424365898391,2025-04-24 21:37:45.196441,2025-04-24 21:37:49.489715,0 days 00:00:04.293274,True,squared_error,42,,2,2,696,TPESampler,COMPLETE
96,0.40271034541138323,2025-04-24 21:37:46.890690,2025-04-24 21:37:52.131524,0 days 00:00:05.240834,True,squared_error,34,,2,5,964,TPESampler,COMPLETE
97,0.4025452403263631,2025-04-24 21:37:48.347729,2025-04-24 21:37:53.206258,0 days 00:00:04.858529,True,squared_error,37,,2,2,867,TPESampler,COMPLETE
98,0.402216389485944,2025-04-24 21:37:49.656353,2025-04-24 21:37:55.104653,0 days 00:00:05.448300,True,squared_error,45,,2,2,981,TPESampler,COMPLETE
99,0.40259858094523027,2025-04-24 21:37:52.300564,2025-04-24 21:37:57.852978,0 days 00:00:05.552414,True,squared_error,46,,2,2,858,TPESampler,COMPLETE
100,0.500137020835675,2025-04-24 21:37:53.396219,2025-04-24 21:37:57.092090,0 days 00:00:03.695871,True,squared_error,41,sqrt,1,2,892,TPESampler,COMPLETE
