number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
66,0.3778849324483718,2025-04-24 21:18:00.969484,2025-04-24 21:18:35.486239,0 days 00:00:34.516755,False,absolute_error,43,sqrt,1,20,974,TPESampler,COMPLETE
67,0.32977836635222313,2025-04-24 21:18:02.104888,2025-04-24 21:18:31.945850,0 days 00:00:29.840962,False,absolute_error,48,sqrt,1,5,805,TPESampler,COMPLETE
68,0.3500384067212231,2025-04-24 21:18:05.533753,2025-04-24 21:18:07.908499,0 days 00:00:02.374746,False,squared_error,47,sqrt,1,9,856,TPESampler,COMPLETE
69,0.48247081432247857,2025-04-24 21:18:08.069162,2025-04-24 21:18:10.151328,0 days 00:00:02.082166,True,squared_error,5,,1,6,563,TPESampler,COMPLETE
70,0.43957837679198564,2025-04-24 21:18:10.315232,2025-04-24 21:21:12.038133,0 days 00:03:01.722901,False,absolute_error,49,,1,9,779,TPESampler,COMPLETE
71,0.8733839962721278,2025-04-24 21:18:13.029959,2025-04-24 21:18:14.284249,0 days 00:00:01.254290,True,squared_error,30,log2,13,2,724,TPESampler,COMPLETE
72,0.3414216208628044,2025-04-24 21:18:14.444448,2025-04-24 21:18:41.280165,0 days 00:00:26.835717,False,absolute_error,50,sqrt,1,8,687,TPESampler,COMPLETE
73,0.614676832767233,2025-04-24 21:18:22.572441,2025-04-24 21:18:24.290675,0 days 00:00:01.718234,True,squared_error,8,sqrt,1,4,950,TPESampler,COMPLETE
74,0.49397985036643244,2025-04-24 21:18:24.459820,2025-04-24 21:18:38.684230,0 days 00:00:14.224410,True,absolute_error,7,,9,2,677,TPESampler,COMPLETE
75,0.34834464255781133,2025-04-24 21:18:25.405763,2025-04-24 21:19:00.303732,0 days 00:00:34.897969,False,absolute_error,40,sqrt,1,2,893,TPESampler,COMPLETE
76,0.32752235912964206,2025-04-24 21:18:32.127608,2025-04-24 21:19:05.001725,0 days 00:00:32.874117,False,absolute_error,48,sqrt,1,4,823,TPESampler,COMPLETE
77,0.3454433448703571,2025-04-24 21:18:35.647844,2025-04-24 21:19:19.524469,0 days 00:00:43.876625,False,absolute_error,47,sqrt,1,8,981,TPESampler,COMPLETE
78,0.3274676361269366,2025-04-24 21:18:38.854693,2025-04-24 21:19:09.846480,0 days 00:00:30.991787,False,absolute_error,48,sqrt,1,4,801,TPESampler,COMPLETE
79,0.8607838705920127,2025-04-24 21:18:41.455659,2025-04-24 21:18:42.836066,0 days 00:00:01.380407,False,absolute_error,12,log2,13,6,494,TPESampler,COMPLETE
80,0.5594209119620546,2025-04-24 21:18:43.007427,2025-04-24 21:18:44.039917,0 days 00:00:01.032490,True,squared_error,47,,15,4,172,TPESampler,COMPLETE
81,0.43456436895747685,2025-04-24 21:18:44.243454,2025-04-24 21:18:45.831778,0 days 00:00:01.588324,False,squared_error,27,,4,2,186,TPESampler,COMPLETE
82,0.3410065953705816,2025-04-24 21:18:45.992689,2025-04-24 21:19:10.759926,0 days 00:00:24.767237,False,absolute_error,50,sqrt,1,8,573,TPESampler,COMPLETE
83,0.3799526964115316,2025-04-24 21:19:00.475587,2025-04-24 21:19:24.407210,0 days 00:00:23.931623,True,absolute_error,48,sqrt,1,11,999,TPESampler,COMPLETE
84,0.5944587939418184,2025-04-24 21:19:05.176665,2025-04-24 21:19:05.833875,0 days 00:00:00.657210,False,squared_error,33,sqrt,6,12,131,TPESampler,COMPLETE
85,0.46119253617305633,2025-04-24 21:19:06.020105,2025-04-24 21:19:20.691785,0 days 00:00:14.671680,False,absolute_error,38,sqrt,3,6,756,TPESampler,COMPLETE
86,0.3259683114033677,2025-04-24 21:19:10.021006,2025-04-24 21:19:43.595057,0 days 00:00:33.574051,False,absolute_error,49,sqrt,1,4,900,TPESampler,COMPLETE
87,0.33373166435223006,2025-04-24 21:19:10.939102,2025-04-24 21:19:41.711798,0 days 00:00:30.772696,False,absolute_error,44,sqrt,1,5,796,TPESampler,COMPLETE
88,0.49413282531480346,2025-04-24 21:19:19.695586,2025-04-24 21:19:23.871395,0 days 00:00:04.175809,False,squared_error,36,,13,9,819,TPESampler,COMPLETE
89,0.3341831196660524,2025-04-24 21:19:20.861886,2025-04-24 21:19:53.877495,0 days 00:00:33.015609,False,absolute_error,47,sqrt,1,6,843,TPESampler,COMPLETE
90,0.4318338103872668,2025-04-24 21:19:24.031982,2025-04-24 21:19:43.122413,0 days 00:00:19.090431,False,absolute_error,39,log2,1,10,671,TPESampler,COMPLETE
91,0.40394527353010085,2025-04-24 21:19:24.606292,2025-04-24 21:20:19.632042,0 days 00:00:55.025750,True,absolute_error,19,,2,21,760,TPESampler,COMPLETE
92,0.3343315504180627,2025-04-24 21:19:41.881145,2025-04-24 21:20:11.952299,0 days 00:00:30.071154,False,absolute_error,49,sqrt,1,3,800,TPESampler,COMPLETE
93,0.34863385649291045,2025-04-24 21:19:43.284025,2025-04-24 21:20:09.132097,0 days 00:00:25.848072,False,absolute_error,38,sqrt,1,6,729,TPESampler,COMPLETE
94,0.3328711938290082,2025-04-24 21:19:43.812314,2025-04-24 21:20:13.553138,0 days 00:00:29.740824,False,absolute_error,42,sqrt,1,4,817,TPESampler,COMPLETE
95,0.7606697513466344,2025-04-24 21:19:54.052275,2025-04-24 21:19:55.128912,0 days 00:00:01.076637,False,squared_error,14,sqrt,13,11,688,TPESampler,COMPLETE
96,0.33087220007136475,2025-04-24 21:19:55.299085,2025-04-24 21:20:25.147207,0 days 00:00:29.848122,False,absolute_error,45,sqrt,1,4,812,TPESampler,COMPLETE
97,0.4685853894714752,2025-04-24 21:20:09.410163,2025-04-24 21:21:48.544806,0 days 00:01:39.134643,False,absolute_error,50,,3,3,871,TPESampler,COMPLETE
