number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
87,0.35927603961728766,2025-04-24 21:36:30.912362,2025-04-24 21:36:33.893373,0 days 00:00:02.981011,0.03643491873887848,10,log2,1,18,1338,0.6647147274929441,TPESampler,COMPLETE
88,0.2677266466509979,2025-04-24 21:36:31.608120,2025-04-24 21:36:36.138321,0 days 00:00:04.530201,0.04278495912881791,12,,1,19,1239,0.7179636112321324,TPESampler,COMPLETE
89,0.33969538061044463,2025-04-24 21:36:33.482506,2025-04-24 21:36:36.040124,0 days 00:00:02.557618,0.061219698228747454,11,sqrt,2,19,1433,0.6814600114004886,TPESampler,COMPLETE
90,0.3895793212019276,2025-04-24 21:36:34.100548,2025-04-24 21:36:37.736480,0 days 00:00:03.635932,0.04816267920914289,10,,5,19,1382,0.6503290244027803,TPESampler,COMPLETE
91,0.35550316689644257,2025-04-24 21:36:36.201535,2025-04-24 21:36:37.476512,0 days 00:00:01.274977,0.07427115093787032,12,log2,1,2,283,0.7097504955926359,TPESampler,COMPLETE
92,0.3260423452008131,2025-04-24 21:36:36.292352,2025-04-24 21:36:38.774320,0 days 00:00:02.481968,0.09064927742356743,9,,2,13,688,0.7285587608508437,TPESampler,COMPLETE
93,0.29069793114733233,2025-04-24 21:36:37.668424,2025-04-24 21:36:41.369878,0 days 00:00:03.701454,0.05995467431261901,10,,1,18,1399,0.6418927361669957,TPESampler,COMPLETE
94,0.2895405665395247,2025-04-24 21:36:37.969112,2025-04-24 21:36:41.273684,0 days 00:00:03.304572,0.0278197504856922,11,,1,18,1123,0.6841665778056425,TPESampler,COMPLETE
95,0.3431546503551009,2025-04-24 21:36:38.989787,2025-04-24 21:36:42.639216,0 days 00:00:03.649429,0.05465818270024125,12,,3,16,1386,0.7330447142401056,TPESampler,COMPLETE
96,0.3546545434181075,2025-04-24 21:36:41.439856,2025-04-24 21:36:45.685918,0 days 00:00:04.246062,0.08545528086497264,9,,2,20,1453,0.8510148664008845,TPESampler,COMPLETE
97,0.2974377127195109,2025-04-24 21:36:41.544859,2025-04-24 21:36:44.446166,0 days 00:00:02.901307,0.02331351080817742,7,,1,9,1030,0.6408941998940447,TPESampler,COMPLETE
98,0.31185512688468503,2025-04-24 21:36:42.820718,2025-04-24 21:36:46.797967,0 days 00:00:03.977249,0.022775317087307744,12,,3,20,1473,0.6813138016982963,TPESampler,COMPLETE
99,0.2789674329045821,2025-04-24 21:36:44.616847,2025-04-24 21:36:48.344961,0 days 00:00:03.728114,0.041910075640366584,12,,1,19,1114,0.7120520900281848,TPESampler,COMPLETE
100,0.45052178547304006,2025-04-24 21:36:45.869999,2025-04-24 21:36:47.978658,0 days 00:00:02.108659,0.012590332162439285,5,log2,1,11,1258,0.6633021095970193,TPESampler,COMPLETE
101,0.2739873575964563,2025-04-24 21:36:46.988260,2025-04-24 21:36:51.460394,0 days 00:00:04.472134,0.05860835868000111,10,,1,19,1388,0.7203043151170265,TPESampler,COMPLETE
102,0.28106170613670983,2025-04-24 21:36:48.153382,2025-04-24 21:36:51.709009,0 days 00:00:03.555627,0.03442045417461915,9,,1,13,1158,0.7007707124674972,TPESampler,COMPLETE
103,0.383298328775747,2025-04-24 21:36:48.561919,2025-04-24 21:36:50.011157,0 days 00:00:01.449238,0.054386041553687474,12,sqrt,4,5,801,0.6108438719504142,TPESampler,COMPLETE
104,0.2905627684311129,2025-04-24 21:36:50.180754,2025-04-24 21:36:54.229575,0 days 00:00:04.048821,0.036941582119099904,12,,1,19,1403,0.6992957098571737,TPESampler,COMPLETE
105,0.3177468792690143,2025-04-24 21:36:51.653515,2025-04-24 21:36:55.017163,0 days 00:00:03.363648,0.02260254563651439,10,,2,13,1218,0.6903626330177366,TPESampler,COMPLETE
106,0.27273369843229395,2025-04-24 21:36:51.917591,2025-04-24 21:36:55.793988,0 days 00:00:03.876397,0.032916458178797646,8,,1,19,1450,0.7322589361944486,TPESampler,COMPLETE
107,0.32585181225740534,2025-04-24 21:36:54.406030,2025-04-24 21:36:57.903563,0 days 00:00:03.497533,0.039469374249013735,11,,2,19,1193,0.757651887085309,TPESampler,COMPLETE
108,0.2798073300822863,2025-04-24 21:36:55.194344,2025-04-24 21:36:58.733936,0 days 00:00:03.539592,0.03227929120379036,10,,1,10,1181,0.7820952523422642,TPESampler,COMPLETE
109,0.28426615951739603,2025-04-24 21:36:55.971155,2025-04-24 21:36:59.326653,0 days 00:00:03.355498,0.0428538651637468,8,,1,20,1224,0.7066674758779622,TPESampler,COMPLETE
110,0.28638989114926344,2025-04-24 21:36:58.096537,2025-04-24 21:37:00.925326,0 days 00:00:02.828789,0.0434465339214996,12,,1,20,799,0.6943055846925464,TPESampler,COMPLETE
111,0.36255816907847915,2025-04-24 21:36:58.917927,2025-04-24 21:37:02.860471,0 days 00:00:03.942544,0.06046346494048742,8,,4,13,1401,0.7619933414917518,TPESampler,COMPLETE
