number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
84,0.3800922254451442,2025-04-24 21:36:49.826083,2025-04-24 21:36:51.810350,0 days 00:00:01.984267,0.01280898484503036,11,sqrt,2,14,1212,0.837825764144886,TPESampler,COMPLETE
85,0.45913473579119574,2025-04-24 21:36:51.974581,2025-04-24 21:36:53.203542,0 days 00:00:01.228961,0.09890373506986617,8,,10,4,218,0.6504886345985095,TPESampler,COMPLETE
86,0.32562598280652566,2025-04-24 21:36:53.154372,2025-04-24 21:36:59.829741,0 days 00:00:06.675369,0.010111262647037066,12,,1,17,1349,0.7671746753948858,TPESampler,COMPLETE
87,0.33249321349819827,2025-04-24 21:36:53.432575,2025-04-24 21:37:01.371386,0 days 00:00:07.938811,0.018917186066265437,12,,3,14,1484,0.8757853334389675,TPESampler,COMPLETE
88,0.3318493694045594,2025-04-24 21:36:54.775093,2025-04-24 21:37:00.254025,0 days 00:00:05.478932,0.023910467034039814,9,,3,19,1347,0.7788070477611879,TPESampler,COMPLETE
89,0.32245070585029934,2025-04-24 21:36:59.994630,2025-04-24 21:37:07.486266,0 days 00:00:07.491636,0.012219731323018028,12,,1,16,1290,0.8805095350876927,TPESampler,COMPLETE
90,0.31610085446142056,2025-04-24 21:37:00.412292,2025-04-24 21:37:06.988430,0 days 00:00:06.576138,0.028326021934962583,11,,2,18,1246,0.8328256057970228,TPESampler,COMPLETE
91,0.34591521059982405,2025-04-24 21:37:01.540677,2025-04-24 21:37:02.940541,0 days 00:00:01.399864,0.05745604111326761,12,sqrt,2,13,772,0.7139019322811132,TPESampler,COMPLETE
92,0.38918491721008125,2025-04-24 21:37:03.092747,2025-04-24 21:37:04.824542,0 days 00:00:01.731795,0.017834658021554848,12,log2,3,19,1360,0.8325199195266557,TPESampler,COMPLETE
93,0.3305874419659534,2025-04-24 21:37:04.998829,2025-04-24 21:37:11.860970,0 days 00:00:06.862141,0.01159117871816345,12,,2,15,1404,0.7731782380659307,TPESampler,COMPLETE
94,0.33643494257995843,2025-04-24 21:37:07.144212,2025-04-24 21:37:13.112455,0 days 00:00:05.968243,0.033716936609897524,10,,1,16,1235,0.7791380527654466,TPESampler,COMPLETE
95,0.3111157287147987,2025-04-24 21:37:07.650234,2025-04-24 21:37:14.564165,0 days 00:00:06.913931,0.013943284031213646,11,,2,20,1253,0.953085947372244,TPESampler,COMPLETE
96,0.32358179704475026,2025-04-24 21:37:12.037371,2025-04-24 21:37:19.002796,0 days 00:00:06.965425,0.02426688891667053,11,,1,17,1275,0.8993092686854098,TPESampler,COMPLETE
97,0.3262307816846038,2025-04-24 21:37:13.331316,2025-04-24 21:37:20.138299,0 days 00:00:06.806983,0.0156159834277466,12,,3,18,1344,0.8235973600855612,TPESampler,COMPLETE
98,0.3162976515944596,2025-04-24 21:37:14.738091,2025-04-24 21:37:22.775730,0 days 00:00:08.037639,0.012351453364816311,11,,2,17,1466,0.9526863335257635,TPESampler,COMPLETE
99,0.37515861422854974,2025-04-24 21:37:19.170444,2025-04-24 21:37:19.924176,0 days 00:00:00.753732,0.04803570975359489,9,sqrt,3,14,220,0.7685307446379166,TPESampler,COMPLETE
100,0.3195665615511903,2025-04-24 21:37:20.099282,2025-04-24 21:37:25.289646,0 days 00:00:05.190364,0.02618225535569153,11,,2,19,997,0.8362625759658538,TPESampler,COMPLETE
101,0.3257306538010181,2025-04-24 21:37:20.333824,2025-04-24 21:37:26.686004,0 days 00:00:06.352180,0.020848025135328227,12,,1,14,1167,0.8087805209057723,TPESampler,COMPLETE
102,0.3187026713557115,2025-04-24 21:37:22.938100,2025-04-24 21:37:31.508210,0 days 00:00:08.570110,0.016396361767808624,12,,1,20,1368,0.9927249072244866,TPESampler,COMPLETE
103,0.36564972527363854,2025-04-24 21:37:25.454687,2025-04-24 21:37:27.671398,0 days 00:00:02.216711,0.018834681109264315,10,sqrt,1,20,1392,0.8845916693400304,TPESampler,COMPLETE
104,0.38822895376772965,2025-04-24 21:37:26.849195,2025-04-24 21:37:32.426152,0 days 00:00:05.576957,0.014623544000049367,10,,7,18,1067,0.9903274468587856,TPESampler,COMPLETE
105,0.3228979133287215,2025-04-24 21:37:27.833726,2025-04-24 21:37:35.062140,0 days 00:00:07.228414,0.010876503756386692,10,,2,15,1464,0.8970506192104301,TPESampler,COMPLETE
106,0.3272229786329015,2025-04-24 21:37:31.678498,2025-04-24 21:37:39.163585,0 days 00:00:07.485087,0.021045062445197955,11,,1,19,1377,0.9111841188275397,TPESampler,COMPLETE
107,0.3074762167634012,2025-04-24 21:37:32.590982,2025-04-24 21:37:40.195242,0 days 00:00:07.604260,0.011966802788278719,12,,2,20,1413,0.8880632811017058,TPESampler,COMPLETE
108,0.34271420724625845,2025-04-24 21:37:35.240599,2025-04-24 21:37:41.109350,0 days 00:00:05.868751,0.016792452423716832,7,,2,18,1334,0.9823921677597407,TPESampler,COMPLETE
109,0.31802196953968015,2025-04-24 21:37:39.318158,2025-04-24 21:37:45.841768,0 days 00:00:06.523610,0.015243016253969902,12,,2,17,1008,0.9979086894647535,TPESampler,COMPLETE
110,0.3537974835615977,2025-04-24 21:37:40.373804,2025-04-24 21:37:42.816387,0 days 00:00:02.442583,0.014929015872235961,12,sqrt,1,17,1462,0.9892657226112248,TPESampler,COMPLETE
111,0.3249292589968107,2025-04-24 21:37:41.296989,2025-04-24 21:37:49.437020,0 days 00:00:08.140031,0.01205255064718273,10,,2,19,1478,0.9794290736629964,TPESampler,COMPLETE
112,0.30193523497086655,2025-04-24 21:37:42.983039,2025-04-24 21:37:50.640251,0 days 00:00:07.657212,0.014645045527302964,12,,2,20,1274,0.9287102171722701,TPESampler,COMPLETE
113,0.4156989125031844,2025-04-24 21:37:46.261317,2025-04-24 21:37:49.050791,0 days 00:00:02.789474,0.011664903448808156,11,log2,1,10,1490,0.7939602300702098,TPESampler,COMPLETE
114,0.3303330698793209,2025-04-24 21:37:49.430917,2025-04-24 21:37:55.874322,0 days 00:00:06.443405,0.019463464090255945,10,,1,20,1027,0.9467805023485139,TPESampler,COMPLETE
115,0.30413661483120913,2025-04-24 21:37:50.130043,2025-04-24 21:37:58.568472,0 days 00:00:08.438429,0.014389844414951844,12,,2,20,1365,0.9383792680950099,TPESampler,COMPLETE
116,0.32975673617896756,2025-04-24 21:37:50.897328,2025-04-24 21:37:57.990667,0 days 00:00:07.093339,0.010917054903554591,11,,1,18,1191,0.9738848670068901,TPESampler,COMPLETE
117,0.3400456357383999,2025-04-24 21:37:56.051769,2025-04-24 21:38:03.443785,0 days 00:00:07.392016,0.015145809942525798,12,,4,18,1286,0.939512260765842,TPESampler,COMPLETE
118,0.32698097750726846,2025-04-24 21:37:58.171768,2025-04-24 21:38:02.829812,0 days 00:00:04.658044,0.023432396511046692,12,,3,17,899,0.8031242645989518,TPESampler,COMPLETE
119,0.31930085520015605,2025-04-24 21:37:58.864378,2025-04-24 21:38:08.022194,0 days 00:00:09.157816,0.015174761672395183,12,,1,20,1495,0.9803700093944129,TPESampler,COMPLETE
120,0.3395354732316179,2025-04-24 21:38:03.005123,2025-04-24 21:38:09.886852,0 days 00:00:06.881729,0.014118822714933655,11,,4,20,1297,0.9257827797605005,TPESampler,COMPLETE
121,0.37978343369369216,2025-04-24 21:38:03.630719,2025-04-24 21:38:05.176140,0 days 00:00:01.545421,0.013574854573517146,12,sqrt,2,20,885,0.9719245314807081,TPESampler,COMPLETE
122,0.3352909130686208,2025-04-24 21:38:05.344089,2025-04-24 21:38:11.810176,0 days 00:00:06.466087,0.01481981801272367,12,,3,20,1091,0.979977975132635,TPESampler,COMPLETE
123,0.3116515304100707,2025-04-24 21:38:08.221487,2025-04-24 21:38:15.882981,0 days 00:00:07.661494,0.014791213579031048,11,,2,20,1389,0.9258242081412178,TPESampler,COMPLETE
124,0.3103858690536515,2025-04-24 21:38:10.065362,2025-04-24 21:38:17.199415,0 days 00:00:07.134053,0.018692854629214776,12,,2,20,1149,0.9891883149546331,TPESampler,COMPLETE
125,0.4151485468737115,2025-04-24 21:38:11.988509,2025-04-24 21:38:13.846665,0 days 00:00:01.858156,0.01589168827114209,11,log2,2,20,1471,0.9606543497451857,TPESampler,COMPLETE
126,0.3409958526440848,2025-04-24 21:38:14.071913,2025-04-24 21:38:22.597809,0 days 00:00:08.525896,0.011610876209118087,12,,3,18,1441,0.9924587472178334,TPESampler,COMPLETE
127,0.3213338599432451,2025-04-24 21:38:16.055912,2025-04-24 21:38:24.186606,0 days 00:00:08.130694,0.014980822246986885,12,,2,14,1341,0.9942780958262566,TPESampler,COMPLETE
128,0.3096391844425818,2025-04-24 21:38:17.367009,2025-04-24 21:38:25.283380,0 days 00:00:07.916371,0.010143327315801557,12,,2,20,1401,0.9095274407361633,TPESampler,COMPLETE
129,0.3816786195521473,2025-04-24 21:38:22.768321,2025-04-24 21:38:26.536576,0 days 00:00:03.768255,0.040117714803021585,5,,5,8,1050,0.9250033954730147,TPESampler,COMPLETE
130,0.3240104546477551,2025-04-24 21:38:24.347132,2025-04-24 21:38:32.566677,0 days 00:00:08.219545,0.019979668270235264,11,,1,19,1421,0.9711474242987909,TPESampler,COMPLETE
131,0.3162221566438707,2025-04-24 21:38:25.452775,2025-04-24 21:38:34.014469,0 days 00:00:08.561694,0.013176019881152723,12,,1,19,1474,0.9328105198477733,TPESampler,COMPLETE
132,0.32064078669017326,2025-04-24 21:38:26.701236,2025-04-24 21:38:30.250418,0 days 00:00:03.549182,0.03183850619539249,12,,1,15,662,0.7708005336666376,TPESampler,COMPLETE
133,0.3064924408418295,2025-04-24 21:38:30.433603,2025-04-24 21:38:37.882900,0 days 00:00:07.449297,0.015125856439964223,11,,2,20,1390,0.9122273702936222,TPESampler,COMPLETE
134,0.31585320205094036,2025-04-24 21:38:32.743374,2025-04-24 21:38:39.467933,0 days 00:00:06.724559,0.01136468141023518,12,,2,20,1168,0.9489601260666086,TPESampler,COMPLETE
135,0.31192243169498857,2025-04-24 21:38:34.178022,2025-04-24 21:38:41.583570,0 days 00:00:07.405548,0.012240838108512227,12,,2,20,1427,0.8389335543738723,TPESampler,COMPLETE
136,0.3389673536000293,2025-04-24 21:38:38.050525,2025-04-24 21:38:44.265441,0 days 00:00:06.214916,0.012176177846160019,9,,3,20,1329,0.9095579468130185,TPESampler,COMPLETE
137,0.32902739758822497,2025-04-24 21:38:39.644369,2025-04-24 21:38:46.649003,0 days 00:00:07.004634,0.014124749411377908,11,,3,19,1381,0.8833587167577485,TPESampler,COMPLETE
138,0.32843841774751203,2025-04-24 21:38:41.764624,2025-04-24 21:38:47.278346,0 days 00:00:05.513722,0.014986318444394955,12,,3,20,1023,0.8785237748121458,TPESampler,COMPLETE
139,0.33003383213463156,2025-04-24 21:38:44.441560,2025-04-24 21:38:50.684590,0 days 00:00:06.243030,0.011597330718467197,12,,3,19,1141,0.8769704781977989,TPESampler,COMPLETE
